spieltag,heimverein,gastverein
1,FC Bayern München,VfB Stuttgart
1,1. FC Köln,TSG Hoffenheim
1,1. FC Union Berlin,Eintracht Frankfurt
1,1. FSV Mainz 05,SC Paderborn 07
1,Borussia Dortmund,Hamburger SV
1,RB Leipzig,Borussia M'gladbach
1,SC Freiburg,SV Werder Bremen
1,SV 07 Elversberg,Bayer 04 Leverkusen
1,FC Augsburg,FC Schalke 04
2,VfB Stuttgart,1. FC Köln
2,Bayer 04 Leverkusen,1. FC Union Berlin
2,Borussia M'gladbach,SV 07 Elversberg
2,SC Paderborn 07,SC Freiburg
2,SV Werder Bremen,RB Leipzig
2,TSG Hoffenheim,Borussia Dortmund
2,FC Schalke 04,FC Bayern München
2,Hamburger SV,1. FSV Mainz 05
2,Eintracht Frankfurt,FC Augsburg
3,1. FC Union Berlin,FC Schalke 04
3,1. FSV Mainz 05,Eintracht Frankfurt
3,Borussia Dortmund,SC Paderborn 07
3,FC Augsburg,Bayer 04 Leverkusen
3,SC Freiburg,Borussia M'gladbach
3,TSG Hoffenheim,VfB Stuttgart
3,1. FC Köln,SV Werder Bremen
3,RB Leipzig,Hamburger SV
3,SV 07 Elversberg,FC Bayern München
4,FC Bayern München,1. FC Union Berlin
4,Borussia M'gladbach,1. FSV Mainz 05
4,Eintracht Frankfurt,SC Freiburg
4,Hamburger SV,1. FC Köln
4,SV Werder Bremen,FC Augsburg
4,VfB Stuttgart,Borussia Dortmund
4,Bayer 04 Leverkusen,RB Leipzig
4,FC Schalke 04,SV 07 Elversberg
4,SC Paderborn 07,TSG Hoffenheim
