spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,TSG Hoffenheim,h,1:2,49,3.50
2,0,4,SV Werder Bremen,a,3:3,43,2.87
3,0,-5,Eintracht Frankfurt,h,3:1,65,4.33
5,0,2,FC St. Pauli,a,1:2,59,3.69
6,0,4,1. FC Union Berlin,h,2:0,86,5.73
7,0,2,1. FSV Mainz 05,a,3:4,70,5.00
8,0,2,Sport-Club Freiburg,h,2:0,80,5.00
9,0,3,FC Bayern München,a,3:0,29,1.93
10,0,7,1. FC Heidenheim,h,6:0,126,7.88
11,0,2,VfL Wolfsburg,a,1:3,77,5.13
12,0,3,Borussia Dortmund,h,1:2,51,3.64
13,0,3,FC Augsburg,a,2:0,56,3.50
14,1,12,1. FC Köln,h,2:0,76,4.75
15,0,4,RB Leipzig,a,1:3,82,5.12
16,0,1,VfB Stuttgart,h,1:4,40,2.50
17,0,5,Hamburger SV,a,0:1,66,4.71
18,0,4,TSG Hoffenheim,a,1:0,57,3.56
19,0,4,SV Werder Bremen,h,1:0,76,5.07
20,0,5,Eintracht Frankfurt,a,1:3,83,5.53
21,0,,Borussia M'gladbach,a,1:1,52,3.47
22,0,4,FC St. Pauli,h,4:0,94,5.88
23,0,1,1. FC Union Berlin,a,1:0,48,3.00
24,0,5,1. FSV Mainz 05,h,1:1,68,4.25
25,0,3,Sport-Club Freiburg,a,3:3,65,4.33
26,0,2,FC Bayern München,h,1:1,64,4.00
27,0,0,1. FC Heidenheim,a,3:3,54,3.60
28,0,2,VfL Wolfsburg,h,6:3,87,6.21
29,1,12,Borussia Dortmund,a,0:1,63,4.50
31,0,1,1. FC Köln,a,1:2,66,4.12
32,0,4,RB Leipzig,h,4:1,89,5.93
33,0,2,VfB Stuttgart,a,3:1,45,3.21
34,0,3,Hamburger SV,h,1:1,80,5.33
